<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,1,03/07/20,17:29:00,1.1242000,1.1243300,1.1240000,1.1242000,1345
EURUSD,1,03/07/20,17:30:00,1.1242200,1.1242400,1.1239000,1.1241600,1252
EURUSD,1,03/07/20,17:31:00,1.1241300,1.1242100,1.1239000,1.1241200,1553
EURUSD,1,03/07/20,17:32:00,1.1241000,1.1242500,1.1238500,1.1242000,1316
EURUSD,1,03/07/20,17:33:00,1.1242500,1.1244000,1.1240000,1.1243000,810
EURUSD,1,03/07/20,17:34:00,1.1243300,1.1243600,1.1240000,1.1241800,1478
EURUSD,1,03/07/20,17:35:00,1.1241900,1.1242000,1.1238000,1.1239000,2019
EURUSD,1,03/07/20,17:36:00,1.1240100,1.1240600,1.1236000,1.1237300,1643
EURUSD,1,03/07/20,17:37:00,1.1237100,1.1238200,1.1234000,1.1237000,1965
EURUSD,1,03/07/20,17:38:00,1.1237400,1.1238600,1.1234000,1.1237800,2534
EURUSD,1,03/07/20,17:39:00,1.1238200,1.1239700,1.1236000,1.1237900,1363
EURUSD,1,03/07/20,17:40:00,1.1238700,1.1241300,1.1237000,1.1241000,1190
EURUSD,1,03/07/20,17:41:00,1.1240800,1.1243100,1.1239000,1.1242900,1274
EURUSD,1,03/07/20,17:42:00,1.1242900,1.1243200,1.1240000,1.1242400,1369
EURUSD,1,03/07/20,17:43:00,1.1242400,1.1242600,1.1238000,1.1239500,1879
EURUSD,1,03/07/20,17:44:00,1.1240100,1.1245900,1.1239000,1.1241500,2781
EURUSD,1,03/07/20,17:45:00,1.1243300,1.1244100,1.1241000,1.1243800,1418
EURUSD,1,03/07/20,17:46:00,1.1243900,1.1244200,1.1241000,1.1242700,1369
EURUSD,1,03/07/20,17:47:00,1.1243800,1.1244800,1.1241500,1.1243800,1264
EURUSD,1,03/07/20,17:48:00,1.1244000,1.1247400,1.1242500,1.1246100,1792
EURUSD,1,03/07/20,17:49:00,1.1247100,1.1247700,1.1244000,1.1246800,1586
EURUSD,1,03/07/20,17:50:00,1.1247100,1.1247100,1.1243000,1.1245500,1623
EURUSD,1,03/07/20,17:51:00,1.1245700,1.1248300,1.1244000,1.1245800,1978
EURUSD,1,03/07/20,17:52:00,1.1245800,1.1248000,1.1244000,1.1245600,1496
EURUSD,1,03/07/20,17:53:00,1.1244900,1.1246300,1.1241000,1.1243300,2515
EURUSD,1,03/07/20,17:54:00,1.1243700,1.1244600,1.1238900,1.1244100,2923
EURUSD,1,03/07/20,17:55:00,1.1244400,1.1244500,1.1240000,1.1242200,1919
EURUSD,1,03/07/20,17:56:00,1.1242200,1.1243600,1.1239900,1.1241200,1967
EURUSD,1,03/07/20,17:57:00,1.1241100,1.1243000,1.1239000,1.1242900,2194
EURUSD,1,03/07/20,17:58:00,1.1242200,1.1243700,1.1239900,1.1242800,2104
EURUSD,1,03/07/20,17:59:00,1.1242600,1.1244000,1.1240900,1.1243500,1634
EURUSD,1,03/07/20,18:00:00,1.1243400,1.1244300,1.1239900,1.1241700,2467
EURUSD,1,03/07/20,18:01:00,1.1239900,1.1242400,1.1238900,1.1242100,2107
EURUSD,1,03/07/20,18:02:00,1.1242300,1.1243600,1.1239000,1.1243200,2154
EURUSD,1,03/07/20,18:03:00,1.1243300,1.1245200,1.1241000,1.1243400,2089
EURUSD,1,03/07/20,18:04:00,1.1244200,1.1244900,1.1241400,1.1243400,949
EURUSD,1,03/07/20,18:05:00,1.1243600,1.1244400,1.1241400,1.1242800,964
EURUSD,1,03/07/20,18:06:00,1.1243000,1.1244600,1.1240900,1.1242900,780
EURUSD,1,03/07/20,18:07:00,1.1243500,1.1245000,1.1242000,1.1244000,991
EURUSD,1,03/07/20,18:08:00,1.1243400,1.1245900,1.1242900,1.1243800,1056
EURUSD,1,03/07/20,18:09:00,1.1244800,1.1245400,1.1242000,1.1244600,865
EURUSD,1,03/07/20,18:10:00,1.1244400,1.1245000,1.1242000,1.1243900,841
EURUSD,1,03/07/20,18:11:00,1.1243100,1.1244500,1.1241900,1.1243500,681
EURUSD,1,03/07/20,18:12:00,1.1243500,1.1244800,1.1242000,1.1243000,826
EURUSD,1,03/07/20,18:13:00,1.1244300,1.1245400,1.1242000,1.1243600,984
EURUSD,1,03/07/20,18:14:00,1.1243500,1.1244800,1.1242000,1.1244600,949
EURUSD,1,03/07/20,18:15:00,1.1243600,1.1245200,1.1241900,1.1243000,1045
EURUSD,1,03/07/20,18:16:00,1.1242400,1.1246200,1.1242400,1.1245600,1500
EURUSD,1,03/07/20,18:17:00,1.1245700,1.1246300,1.1242900,1.1244400,1308
EURUSD,1,03/07/20,18:18:00,1.1243900,1.1245700,1.1243000,1.1244900,626
EURUSD,1,03/07/20,18:19:00,1.1244800,1.1245200,1.1241700,1.1241700,490
EURUSD,1,03/07/20,18:20:00,1.1243600,1.1244300,1.1241700,1.1243300,612
EURUSD,1,03/07/20,18:21:00,1.1242300,1.1243400,1.1240700,1.1242900,855
EURUSD,1,03/07/20,18:22:00,1.1242200,1.1244000,1.1240000,1.1241900,854
EURUSD,1,03/07/20,18:23:00,1.1241100,1.1243000,1.1240000,1.1242300,840
EURUSD,1,03/07/20,18:24:00,1.1242600,1.1243800,1.1241000,1.1242000,874
EURUSD,1,03/07/20,18:25:00,1.1242600,1.1242800,1.1239000,1.1240200,1160
EURUSD,1,03/07/20,18:26:00,1.1241300,1.1242300,1.1239000,1.1242000,907
EURUSD,1,03/07/20,18:27:00,1.1241200,1.1243500,1.1240000,1.1242200,957
EURUSD,1,03/07/20,18:28:00,1.1243000,1.1243300,1.1240000,1.1241300,925
EURUSD,1,03/07/20,18:29:00,1.1241300,1.1242400,1.1239000,1.1240600,1089
EURUSD,1,03/07/20,18:30:00,1.1240600,1.1243300,1.1239000,1.1242600,1093
EURUSD,1,03/07/20,18:31:00,1.1243000,1.1243300,1.1240000,1.1241000,980
EURUSD,1,03/07/20,18:32:00,1.1242700,1.1243000,1.1240800,1.1242700,423
EURUSD,1,03/07/20,18:33:00,1.1242000,1.1243800,1.1240800,1.1243500,849
EURUSD,1,03/07/20,18:34:00,1.1242300,1.1245300,1.1241800,1.1244100,977
EURUSD,1,03/07/20,18:35:00,1.1244900,1.1245000,1.1241000,1.1242700,1261
EURUSD,1,03/07/20,18:36:00,1.1242700,1.1243500,1.1240800,1.1242900,925
EURUSD,1,03/07/20,18:37:00,1.1243300,1.1243700,1.1241300,1.1243000,790
EURUSD,1,03/07/20,18:38:00,1.1243000,1.1243700,1.1240800,1.1243000,984
EURUSD,1,03/07/20,18:39:00,1.1243300,1.1244600,1.1241000,1.1243000,855
EURUSD,1,03/07/20,18:40:00,1.1242700,1.1244200,1.1240200,1.1242500,1175
EURUSD,1,03/07/20,18:41:00,1.1242200,1.1243200,1.1240200,1.1241200,1025
EURUSD,1,03/07/20,18:42:00,1.1242000,1.1242700,1.1240000,1.1241000,403
EURUSD,1,03/07/20,18:43:00,1.1241300,1.1242400,1.1239800,1.1241800,935
EURUSD,1,03/07/20,18:44:00,1.1240200,1.1242200,1.1239000,1.1241300,680
EURUSD,1,03/07/20,18:45:00,1.1241100,1.1243100,1.1239800,1.1241900,1002
EURUSD,1,03/07/20,18:46:00,1.1241300,1.1244000,1.1240000,1.1243500,1041
EURUSD,1,03/07/20,18:47:00,1.1243500,1.1244800,1.1241000,1.1244700,1186
EURUSD,1,03/07/20,18:48:00,1.1243700,1.1244600,1.1241800,1.1243000,870
EURUSD,1,03/07/20,18:49:00,1.1243000,1.1244700,1.1240800,1.1242300,1331
EURUSD,1,03/07/20,18:50:00,1.1241700,1.1243300,1.1240800,1.1243100,548
EURUSD,1,03/07/20,18:51:00,1.1243300,1.1243300,1.1241300,1.1242900,463
EURUSD,1,03/07/20,18:52:00,1.1242900,1.1243400,1.1240800,1.1242300,528
EURUSD,1,03/07/20,18:53:00,1.1242300,1.1243400,1.1240800,1.1242800,445
EURUSD,1,03/07/20,18:54:00,1.1242800,1.1243000,1.1240800,1.1242000,256
EURUSD,1,03/07/20,18:55:00,1.1242800,1.1243200,1.1240800,1.1242100,399
EURUSD,1,03/07/20,18:56:00,1.1242600,1.1243400,1.1240800,1.1242900,430
EURUSD,1,03/07/20,18:57:00,1.1242400,1.1244300,1.1241800,1.1243600,576
EURUSD,1,03/07/20,18:58:00,1.1243300,1.1244300,1.1240800,1.1242900,492
EURUSD,1,03/07/20,18:59:00,1.1242000,1.1243400,1.1240800,1.1243000,691
EURUSD,1,03/07/20,19:00:00,1.1242200,1.1243700,1.1241000,1.1243000,640
EURUSD,1,03/07/20,19:01:00,1.1243200,1.1244000,1.1241000,1.1243300,784
EURUSD,1,03/07/20,19:02:00,1.1243300,1.1243500,1.1240000,1.1242900,829
EURUSD,1,03/07/20,19:03:00,1.1241800,1.1243800,1.1240800,1.1243100,1156
EURUSD,1,03/07/20,19:04:00,1.1242900,1.1243200,1.1241000,1.1242700,809
EURUSD,1,03/07/20,19:05:00,1.1242600,1.1243300,1.1240800,1.1241000,621
EURUSD,1,03/07/20,19:06:00,1.1241700,1.1243200,1.1240200,1.1242000,502
EURUSD,1,03/07/20,19:07:00,1.1243200,1.1243300,1.1240800,1.1242800,522
EURUSD,1,03/07/20,19:08:00,1.1241300,1.1242900,1.1240000,1.1241000,760
EURUSD,1,03/07/20,19:09:00,1.1241000,1.1243200,1.1240200,1.1242500,743
EURUSD,1,03/07/20,19:10:00,1.1242900,1.1243400,1.1240000,1.1242100,804
EURUSD,1,03/07/20,19:11:00,1.1242300,1.1242500,1.1239800,1.1241500,571
EURUSD,1,03/07/20,19:12:00,1.1241500,1.1241600,1.1237800,1.1239600,778
EURUSD,1,03/07/20,19:13:00,1.1239400,1.1240000,1.1236800,1.1237500,858
EURUSD,1,03/07/20,19:14:00,1.1238100,1.1239100,1.1236800,1.1238400,897
EURUSD,1,03/07/20,19:15:00,1.1238500,1.1239000,1.1235300,1.1237400,1174
EURUSD,1,03/07/20,19:16:00,1.1237100,1.1237900,1.1234800,1.1237100,990
EURUSD,1,03/07/20,19:17:00,1.1237000,1.1238200,1.1235300,1.1237700,585
EURUSD,1,03/07/20,19:18:00,1.1236900,1.1238000,1.1234700,1.1235800,874
EURUSD,1,03/07/20,19:19:00,1.1236600,1.1236900,1.1234000,1.1235900,827
EURUSD,1,03/07/20,19:20:00,1.1234900,1.1237300,1.1234300,1.1236500,914
EURUSD,1,03/07/20,19:21:00,1.1236000,1.1237100,1.1234800,1.1236200,712
EURUSD,1,03/07/20,19:22:00,1.1236200,1.1236700,1.1234800,1.1236300,618
EURUSD,1,03/07/20,19:23:00,1.1236300,1.1239000,1.1234800,1.1238500,869
EURUSD,1,03/07/20,19:24:00,1.1238500,1.1239700,1.1236700,1.1237900,899
EURUSD,1,03/07/20,19:25:00,1.1238900,1.1239300,1.1236700,1.1239000,821
EURUSD,1,03/07/20,19:26:00,1.1239000,1.1240400,1.1237200,1.1239800,887
EURUSD,1,03/07/20,19:27:00,1.1239000,1.1241000,1.1238200,1.1239000,591
EURUSD,1,03/07/20,19:28:00,1.1240600,1.1241000,1.1238700,1.1239900,552
EURUSD,1,03/07/20,19:29:00,1.1240900,1.1242900,1.1238700,1.1242700,1152
EURUSD,1,03/07/20,19:30:00,1.1242700,1.1242800,1.1239000,1.1240400,1138
EURUSD,1,03/07/20,19:31:00,1.1240200,1.1242800,1.1239000,1.1241000,864
EURUSD,1,03/07/20,19:32:00,1.1240800,1.1242700,1.1239700,1.1241900,731
EURUSD,1,03/07/20,19:33:00,1.1241000,1.1242100,1.1239700,1.1242100,539
EURUSD,1,03/07/20,19:34:00,1.1240200,1.1242100,1.1240000,1.1241700,289
